State,Title,Description,Type
NY,Electric Vehicle Emissions Inspection Exemption,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections. For more information, see the <a href=""http://dmv.ny.gov/node/1997"">New York Vehicle Inspection Program (NYVIP2)</a> website. (Reference <a href=""http://www.dec.ny.gov/regulations/regulations.html"">New York State Department of Environmental Conservation Regulations</a> Chapter III, Part 217-6)",State Incentives
WY,Plug-in Electric Vehicle (PEV) Decal Fee,"Owners of PEVs must pay an annual decal fee of $200. (Reference <a href=""http://legisweb.state.wy.us/LSOWEB/LegInfo.aspx"">Wyoming Statutes</a> 39-17-301 (a) and 31-3-102 (a))",Laws and Regulations
WY,Alternative Fuel Tax Rate,"A license tax of $0.24 per gasoline gallon equivalent (GGE) or diesel gallon equivalent (DGE) is collected on all alternative fuel used, sold, or distributed for sale or use in Wyoming. Alternative fuels include compressed natural gas (CNG), liquefied natural gas (LNG), propane, electricity, and renewable diesel. For taxation purposes, one GGE of CNG is equal to 5.66 pounds (lbs.), one DGE of LNG is equal to 6.06 lbs., one GGE of propane is equal to 1.35 gallons, and one GGE of electricity is equal to 33.56 kilowatt-hours. For more information, refer to the <a href=""http://www.dot.state.wy.us/home/business_with_wydot/fuel_tax/tax_rates.html"">Wyoming Department of Transportation Tax Rates</a> website. (Reference <a href=""http://legisweb.state.wy.us/LSOWEB/LegInfo.aspx"">Wyoming Statutes</a> 39-17-104, 39-17-204, 39-17-303, and 39-17-304)",Laws and Regulations
GA,Plug-In Electric Vehicle (PEV) Annual Fee,"All electric vehicles are subject to an annual licensing fee of $320.92 for commercial vehicles and $213.88 for non-commercial vehicles. These fees apply to plug-in hybrid electric vehicles and flex fuel vehicles only if they have an alternative fuel vehicle (AFV) license plate. </p>
AFV license plates are subject to a one-time manufacturing fee of $25, an annual $20 registration fee, and a $35 special tag fee. Electric, natural gas, propane, bi-fuel, and dual-fuel vehicles are eligible for an AFV license plate. </p>
For more information, see the <a href=""https://dor.georgia.gov/alternative-fuel-vehicles-annual-licensing-fees-policy-bulletin"">Georgia Department of Revenue Motor Vehicle Policy Bulletin</a> website.
(Reference <a href=""https://law.justia.com/georgia/"">Georgia Code</a> 40-2-7 and 40-2-151)

",Laws and Regulations
ID,Plug-In Electric Vehicle (PEV) Fee,"In addition to standard registration fees, all-electric vehicle owners must pay an annual fee of $140 and plug-in hybrid electric vehicle owners must pay an annual fee of $75. Neighborhood electric vehicles are exempt from the fee. (Reference <a href=""https://legislature.idaho.gov/statutesrules/""> Idaho Statutes</a> 49-457)",Laws and Regulations
NY,Plug-In Electric Vehicle (PEV) Voluntary Time of Use (TOU) Rate Price Guarantee - Con Edison,"Under the voluntary TOU rate, residential customers will pay a reduced price for electricity used during the designated off-peak period. Customers who register a PEV with Con Edison and are participating in the voluntary TOU rate are guaranteed to pay no more than the standard electric rate for one year after registration with Con Edison. For more information, including how to enroll, see the <a href=""https://www.coned.com/en/our-energy-future/technology-innovation/electric-vehicles/electric-vehicles-and-your-bill"">Electric Vehicles & Your Bill</a> website. ",Utility/Private Incentives
CT,Hydrogen and Plug-In Electric Vehicle (PEV) Rebate,"The Connecticut Hydrogen and Electric Automobile Purchase Rebate Program (CHEAPR) offers rebates for the incremental cost of the purchase or lease of a hydrogen fuel cell electric vehicle (FCEV), all-electric vehicle (EV), or plug-in hybrid electric vehicle (PHEV). The manufacturer suggested retail price for eligible vehicles may not exceed $60,000 for FCEV models and $42,000 for EV and PHEV models. Rebates are offered based on battery range in the following amounts:</p><p><center><table class=""table table-bordered""><tr><th>Vehicle Type</th><th>Rebate Amount</th><th>Required Battery Range</th></tr><tr><td>PHEV</td><td>$500</td><td>Any PHEV</td></tr><tr><td>EV</td><td>$1,500</td><td>200 miles or greater</td></tr><tr><td>EV</td><td>$500</td><td>Less than 200 miles</td></tr><tr><td>FCEV</td><td>$5,000</td><td>Any FCEV</td></tr></table></center></p><p>For more information, see the Connecticut Department of Energy and Environmental Protection <a href=""http://www.ct.gov/deep/cwp/view.asp?a=2684&q=561422&deepNav_GID=2183"">EV Connecticut</a> website.</p><p>(Reference <a href=""https://www.cga.ct.gov/"">House Bill</a> 7424, 2019)",State Incentives
CA,Voluntary Vehicle Retirement Incentives - San Joaquin Valley and South Coast,"The San Joaquin Valley Air Pollution Control District and the South Coast Air Quality Management District administer the Enhanced Fleet Modernization Program (EFMP) Pilot Retire and Replace program, providing incentives to replace a vehicle eligible for retirement with a more fuel-efficient vehicle. Used vehicles must be no more than eight years old and applicants must live in the San Joaquin Valley or South Coast air basins. Eligible replacement vehicles must meet a minimum fuel economy average by model year or average at least 35 miles per gallon (mpg). Alternative fuel vehicles are also eligible, including plug-in hybrid electric vehicles (PHEV) and zero emission vehicles (ZEVs). Funding for alternative transportation mobility options, such as public transportation or car sharing, is also available in lieu of purchasing another vehicle. The incentive amounts vary by income level as compared to the Federal Poverty Level (FPL) and replacement vehicle type.</p><p><div align=""center""><table class=""table table-bordered""><tr><th>Income Eligibility</th><th>Vehicle <8 Years</th><th>Fuel Economy >35 mpg</th><th>PHEV or ZEV</th><th>Alternative Transportation Mobility Option</th></tr><tr><td>Low Income (<225% FPL)</td><td align=""center"">$4,000</td><td align=""center"">$4,500</td><td align=""center"">$4,500</td><td align=""center"">$4,500 Value</td></tr><tr><td>Moderate Income (<300% FPL)</td><td align=""center"">Not Eligible</td><td align=""center"">$3,500</td><td align=""center"">$3,500</td><td align=""center"">$3,500 Value</td></tr><tr><td>Above Moderate Income (<400% FPL)</td><td align=""center"">Not Eligible</td><td align=""center"">Not Eligible</td><td align=""center"">$2,500</td><td align=""center"">$2,500 Value</td></tr></table></div></p><p>Residents living in disadvantaged communities may be eligible for higher incentive amounts. For more information, including eligible vehicles and applicable requirements, see the California Air Resources Board <a href=""https://ww2.arb.ca.gov/our-work/programs/enhanced-fleet-modernization-program"">EFMP</a> website. (Reference <a href=""http://www.oal.ca.gov/"">California Health and Safety Code</a> 44062.3 and 44125)",State Incentives
NJ,Plug-In Electric Vehicle (PEV) Toll Discount Program,"New Jersey Turnpike Authority's (Authority) Green Pass Discount Plan provides a 10% discount on off-peak New Jersey Turnpike and Garden State Parkway toll rates for drivers of vehicles that have a fuel economy of 45 miles per gallon or higher and meet the California Super Ultra Low Emission Vehicle standard. Vehicles must register with New Jersey E-ZPass. For more information, including application instructions, see the <a href=""https://www.panynj.gov/bridges-tunnels/e-zpass.html"">E-ZPass Discount Programs</a> website.",State Incentives
UT,Qualified Heavy-Duty Alternative Fuel Vehicle (AFV) Tax Credit,"Qualified taxpayers are eligible for a tax credit for the purchase of a qualified heavy-duty AFV. Qualifying fuels include natural gas, electricity, and hydrogen. Each qualified heavy-duty AFV is eligible for the following tax credit amounts:</p><p><center><table class=""table table-bordered""><th>Year</th><th>Credit Amount</th><tr><td>2019</td><td>$18,000</td></tr><tr><td>2020</td><td>$15,000</td></tr></table></center></p><p>At least 50% of the qualified vehicle's miles must be driven in the state. A single taxpayer may claim credits for up to 10 AFVs or $500,000 annually. If more than 30% of the total available tax credits in a single year have not been claimed by May 1, a taxpayer may apply for credits for an additional eight AFVs. Up to 25% of the tax credits are reserved for taxpayers with small fleets of less than 40 vehicles. This credit expires December 31, 2020. Additional conditions and restrictions may apply. For more information, see the <a href=""https://deq.utah.gov/air-quality/incentive-programs-aq/alternative-fuel-heavy-duty-vehicle-tax-credit-program"">Alternative Fuel Heavy Duty Vehicle Tax Credit Program</a> website.</p><p>(Reference <a href=""https://le.utah.gov/xcode/code.html"">Utah Code</a> 59-7-618, 59-10-1033, and 59-13-201)",State Incentives
AZ,Electric Vehicle Charging Rate Incentive - Salt River Project (SRP),"SRP offers a time-of-use (TOU) rate for residential customers that own or lease a plug-in hybrid electric or plug-in electric vehicle. The TOU rate applies to daily super off-peak hours and additional off-peak hours on weekends, holidays, and some weekday hours. Eligible customers must be able to separately meter EV charger usage. For more information, including how to enroll, see the SRP <a href=""https://www.srpnet.com/prices/home/electricvehicle.aspx"">Electric Vehicle Price Plan</a> website.",Utility/Private Incentives
